Unique Influencer,Total Faces,Average Performance,Representative Face
0.0,180,0.92721487868,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-992064161877405.jpg
1.0,16,1.6498139185,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-987643572956494.jpg
2.0,28,0.3103,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-960884234555681.jpg
3.0,54,0.8644051512142857,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-929300948587514.jpg
4.0,18,1.1225666666666667,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-925260332281638.jpg
5.0,5,1.5304,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-604041931565137.jpg
6.0,10,1.2417320009,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-888183703182855.jpg
7.0,4,0.867192756715,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-887363366529815.jpg
8.0,6,0.9705278981000001,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-883738210384679.jpg
9.0,20,1.6774006584999999,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-881342303358042.jpg
10.0,3,0.5277488215,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-874864704574925.jpg
11.0,1,0.2842529967,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-871981848375866.jpg
12.0,4,1.06452448145,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-814072014151046.jpg
13.0,8,0.39338387465,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-806751788307038.jpg
