Influencer ID,Total Faces,Average Performance,Representative Face
hd-999607261342550,17,1.106,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-999607261342550.jpg
hd-997580728807604,0,2.2447,
hd-992418235673669,14,2.0126,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-992418235673669.jpg
hd-992064161877405,6,1.7708,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-992064161877405.jpg
hd-991636695150147,17,0.6293,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-991636695150147.jpg
hd-989969399547901,0,0.3461,
hd-989930303148492,2,2.2595,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-989930303148492.jpg
hd-989654009083459,6,1.1227,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-989654009083459.jpg
hd-989600295478567,17,1.6355,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-989600295478567.jpg
hd-989284361966196,17,0.6434,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-989284361966196.jpg
hd-988185795921355,17,1.974,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-988185795921355.jpg
hd-987643572956494,8,1.5009,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-987643572956494.jpg
hd-987287402378278,0,1.4025,
hd-987232088920289,17,0.333,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-987232088920289.jpg
hd-986360206629277,0,1.8499,
hd-983335896508749,5,2.263,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-983335896508749.jpg
hd-978448136455993,17,0.4711,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-978448136455993.jpg
hd-977008307250628,17,1.8942,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-977008307250628.jpg
hd-975523146942238,2,0.429,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-975523146942238.jpg
hd-967731231014052,17,1.5853,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-967731231014052.jpg
hd-966715248087290,17,1.5842,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-966715248087290.jpg
hd-966458824582483,17,2.0997,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-966458824582483.jpg
hd-966019214364727,17,1.8586,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-966019214364727.jpg
hd-965108935263649,14,0.5496,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-965108935263649.jpg
hd-964733417506862,2,0.3276,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-964733417506862.jpg
hd-963303392509872,7,0.3814,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-963303392509872.jpg
hd-960884234555681,28,0.3103,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-960884234555681.jpg
hd-958774641659407,6,1.393,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-958774641659407.jpg
hd-958675741960412,17,1.3293,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-958675741960412.jpg
hd-958267042213267,17,1.5975,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-958267042213267.jpg
hd-954832972830686,8,0.6777,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-954832972830686.jpg
hd-954440782897187,0,0.6267,
hd-951885082053340,0,1.1695,
hd-951491629353387,17,0.2189,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-951491629353387.jpg
hd-946181943065342,17,0.924,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-946181943065342.jpg
hd-944981830978756,4,2.1427,C:\Users\MOHITH\Desktop\fuego assignment\data\representative_faces\hd-944981830978756.jpg
